Budget,Revenue,Title,Average Vote,release_date,Release Year,"Revenue, USD mln","Budget, USD mln","Revenue Adjusted, USD mln",Revenue Adjusted,"Budget Adjusted, USD mln",Outlier,Starring Actors Popularity
150000000,424988211,The Matrix Revolutions,6.4,2003-11-05,2003.0,424.988211,150.0,642.8328011431562,642832801.1431563,226.88845872826678,False,1862.487030783849
150000000,738599701,The Matrix Reloaded,6.7,2003-05-15,2003.0,738.599701,150.0,1117.1983185136578,1117198318.5136578,226.88845872826678,False,1862.487030783849
150000000,212011111,Master and Commander: The Far Side of the World,6.9,2003-11-14,2003.0,212.011111,150.0,320.6858280537166,320685828.0537166,226.88845872826678,False,1370.9588914921144
133000000,300135367,Stuart Little,5.8,1999-12-17,1999.0,300.135367,133.0,510.9603716281722,510960371.6281722,226.42359714490732,False,1949.8418799074332
125000000,238207122,Batman & Robin,4.2,1997-06-20,1997.0,238.207122,125.0,430.22855922246794,430228559.2224679,225.76390433367686,False,4825.359415500249
200000000,743559607,Monsters University,7.0,2013-06-20,2013.0,743.559607,200.0,836.8828884386378,836882888.4386377,225.10176200000004,False,2162.4745596461626
200000000,531865000,World War Z,6.7,2013-06-20,2013.0,531.865,200.0,598.6187432306501,598618743.2306501,225.10176200000004,False,6462.61678431781
200000000,491868548,Oz: The Great and Powerful,5.7,2013-03-07,2013.0,491.868548,200.0,553.6023841359079,553602384.1359079,225.10176200000004,False,3102.6939656550835
200000000,1215439994,Iron Man 3,6.8,2013-04-18,2013.0,1215.439994,200.0,1367.9884212733473,1367988421.2733474,225.10176200000004,False,4927.532435004304
140000000,449220945,Pearl Harbor,6.6,2001-05-21,2001.0,449.220945,140.0,720.8677430195426,720867743.0195426,224.65890147383035,False,1421.6196091215393
175000000,735099082,Up,7.7,2009-05-13,2009.0,735.099082,175.0,931.2015239331021,931201523.9331021,221.68476424283287,False,381.06745663700207
175000000,381509870,Monsters vs Aliens,6.0,2009-03-19,2009.0,381.50987,175.0,483.28528907007893,483285289.07007897,221.68476424283287,False,1344.8282234633969
175000000,302469017,G.I. Joe: The Rise of Cobra,5.6,2009-08-04,2009.0,302.469017,175.0,383.15870128232234,383158701.28232235,221.68476424283287,False,1595.9512274034134
160000000,181674817,Poseidon,5.5,2006-05-12,2006.0,181.674817,160.0,251.48043514906536,251480435.14906538,221.47741931591133,False,1209.9088703672865
150000000,919838758,Shrek 2,6.7,2004-05-19,2004.0,919.838758,150.0,1350.8142270624153,1350814227.0624154,220.28005701773472,False,4469.63079405679
137000000,85131830,Final Fantasy: The Spirits Within,5.9,2001-07-02,2001.0,85.13183,137.0,136.6115957732634,136611595.7732634,219.844782156534,False,670.3597541586923
