Title,Actor
The Walking Deceased,Dave Sheridan
The Curse of Downers Grove,Bella Heathcote
The Curse of Downers Grove,Lucas Till
The Curse of Downers Grove,Helen Slater
Shark Lake,Dolph Lundgren
Shark Lake,James Chalke
Shark Lake,Sara Malakul Lane
River's Edge,Crispin Glover
River's Edge,Keanu Reeves
River's Edge,Ione Skye
Northfork,James Woods
Northfork,Nick Nolte
Northfork,Claire Forlani
The Marine 4: Moving Target,Mike Mizanin
The Marine 4: Moving Target,Melissa Roxburgh
The Marine 4: Moving Target,Josh Blacker
Buried,Ryan Reynolds
Buried,José Luis García Pérez
Buried,Robert Paterson
Submarine,Craig Roberts
Submarine,Sally Hawkins
Submarine,Paddy Considine
The Square,Khalid Abdalla
The Square,Dina Abdullah
The Square,Dina Amer
One to Another,Lizzie Brocheré
One to Another,Arthur Dupont
One to Another,Guillaume Baché
ABCD (Any Body Can Dance),Prabhu Deva
ABCD (Any Body Can Dance),Ganesh Acharya
ABCD (Any Body Can Dance),Kay Kay Menon
Man on Wire,Philippe Petit
Man on Wire,Jean François Heckel
Man on Wire,Jean-Louis Blondeau
Abandoned,Dominic Purcell
Abandoned,Peter Feeney
Abandoned,Owen Black
Brotherly Love,Keke Palmer
Brotherly Love,Cory Hardrict
Brotherly Love,Eric D. Hill Jr.
The Last Exorcism,Ashley Bell
The Last Exorcism,Patrick Fabian
The Last Exorcism,Iris Bahr
Nowhere Boy,Aaron Taylor-Johnson
Nowhere Boy,Anne-Marie Duff
Nowhere Boy,Kristin Scott Thomas
A Streetcar Named Desire,Vivien Leigh
A Streetcar Named Desire,Marlon Brando
A Streetcar Named Desire,Kim Hunter
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Peter Sellers
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,George C. Scott
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Sterling Hayden
The Crime of Padre Amaro,Gael García Bernal
The Crime of Padre Amaro,Ana Claudia Talancón
The Crime of Padre Amaro,Sancho Gracia
Beasts of the Southern Wild,Quvenzhané Wallis
Beasts of the Southern Wild,Dwight Henry
Beasts of the Southern Wild,Levy Easterly
Battle for the Planet of the Apes,Roddy McDowall
Battle for the Planet of the Apes,Natalie Trundy
Battle for the Planet of the Apes,Austin Stoker
Songcatcher,Janet McTeer
Songcatcher,Michael Davis
Songcatcher,Michael Goodwin
Higher Ground,Vera Farmiga
Higher Ground,Donna Murphy
Higher Ground,Dagmara Domińczyk
Vaalu,Silambarasan
Vaalu,Hansika Motwani
Vaalu,Santhanam
The Greatest Movie Ever Sold,Morgan Spurlock
The Greatest Movie Ever Sold,Peter Berg
The Greatest Movie Ever Sold,Paul Brennan
Ed and His Dead Mother,Eric Christmas
Ed and His Dead Mother,Harper Roisman
Ed and His Dead Mother,Steve Buscemi
Travellers and Magicians,Tshewang Dendup
Travellers and Magicians,Sonam Lhamo
Travellers and Magicians,Lhakpa Dorji
Hang 'em High,Clint Eastwood
Hang 'em High,Inger Stevens
Hang 'em High,Ed Begley
Deadline - U.S.A.,Humphrey Bogart
Deadline - U.S.A.,Ethel Barrymore
Deadline - U.S.A.,Kim Hunter
Sublime,Tom Cavanagh
Sublime,Jeffrey Anderson-Gunter
Sublime,Cas Anvar
A Beginner's Guide to Snuff,Joey Kern
A Beginner's Guide to Snuff,Luke Edwards
A Beginner's Guide to Snuff,Bree Williamson
Independence Daysaster,Casey Dubois
Independence Daysaster,Iain Belcher
Independence Daysaster,Andrea Brooks
Dysfunctional Friends,Stacey Dash
Dysfunctional Friends,Reagan Gomez-Preston
Dysfunctional Friends,Wesley Jonathan
Run Lola Run,Franka Potente
Run Lola Run,Moritz Bleibtreu
Run Lola Run,Herbert Knaup
May,Angela Bettis
May,Jeremy Sisto
May,Anna Faris
Against the Wild,Natasha Henstridge
Against the Wild,CJ Adams
Against the Wild,Erin Pitt
Under the Same Moon,Kate del Castillo
Under the Same Moon,Adrián Alonso Barona
Under the Same Moon,Eugenio Derbez
Conquest of the Planet of the Apes,Roddy McDowall
Conquest of the Planet of the Apes,Don Murray
Conquest of the Planet of the Apes,Ricardo Montalban
In the Bedroom,Tom Wilkinson
In the Bedroom,Sissy Spacek
In the Bedroom,Nick Stahl
I Spit on Your Grave,Sarah Butler
I Spit on Your Grave,Daniel Franzese
I Spit on Your Grave,Chad Lindberg
"Happy, Texas",Steve Zahn
"Happy, Texas",William H. Macy
"Happy, Texas",Jeremy Northam
My Summer of Love,Natalie Press
My Summer of Love,Emily Blunt
My Summer of Love,Paddy Considine
The Lunchbox,Irrfan Khan
The Lunchbox,Nimrat Kaur
The Lunchbox,Nawazuddin Siddiqui
Yes,Joan Allen
Yes,Simon Abkarian
Yes,Sam Neill
You Can't Take It With You,Jean Arthur
You Can't Take It With You,Lionel Barrymore
You Can't Take It With You,James Stewart
From Here to Eternity,Burt Lancaster
From Here to Eternity,Montgomery Clift
From Here to Eternity,Deborah Kerr
She Wore a Yellow Ribbon,John Wayne
She Wore a Yellow Ribbon,Joanne Dru
She Wore a Yellow Ribbon,John Agar
Grace Unplugged,AJ Michalka
Grace Unplugged,James Denton
Grace Unplugged,Kevin Pollak
Foolish,Eddie Griffin
Foolish,Master P
Foolish,Amie Petersen
N-Secure,Cordell Moore
N-Secure,Essence Atkins
N-Secure,Denise Boutte
Caramel,Nadine Labaki
Caramel,Yasmine Al Massri
Caramel,Joanna Moukarzel
Out of the Dark,Julia Stiles
Out of the Dark,Scott Speedman
Out of the Dark,Stephen Rea
The Bubble,Ohad Knoller
The Bubble,Yousef Sweid
The Bubble,Daniella Wircer
The Conversation,Gene Hackman
The Conversation,John Cazale
The Conversation,Frederic Forrest
Dil Jo Bhi Kahey...,Amitabh Bachchan
Dil Jo Bhi Kahey...,Revathi
Dil Jo Bhi Kahey...,Karan Sharma
Mississippi Mermaid,Jean-Paul Belmondo
Mississippi Mermaid,Catherine Deneuve
Mississippi Mermaid,Michel Bouquet
I Love Your Work,Marisa Coughlan
I Love Your Work,Judy Greer
I Love Your Work,Shalom Harlow
Cabin Fever,Matthew Daddario
Cabin Fever,Samuel Davis
Cabin Fever,Dustin Ingram
Waitress,Keri Russell
Waitress,Nathan Fillion
Waitress,Andy Griffith
Bloodsport,Jean-Claude Van Damme
Bloodsport,Bolo Yeung
Bloodsport,Roy Chiao
Mr. Smith Goes to Washington,James Stewart
Mr. Smith Goes to Washington,Jean Arthur
Mr. Smith Goes to Washington,Claude Rains
Kids,Leo Fitzpatrick
Kids,Rosario Dawson
Kids,Chloë Sevigny
The Squid and the Whale,Jeff Daniels
The Squid and the Whale,Laura Linney
The Squid and the Whale,Jesse Eisenberg
Kissing Jessica Stein,Jennifer Westfeldt
Kissing Jessica Stein,Tovah Feldshuh
Kissing Jessica Stein,Esther Wurmfeld
Kickboxer: Vengeance,Alain Moussi
Kickboxer: Vengeance,Dave Bautista
Kickboxer: Vengeance,Sara Malakul Lane
Spellbound,Ingrid Bergman
Spellbound,Gregory Peck
Spellbound,Michael Chekhov
Exotica,Bruce Greenwood
Exotica,Mia Kirshner
Exotica,Elias Koteas
Buffalo '66,Vincent Gallo
Buffalo '66,Christina Ricci
Buffalo '66,Ben Gazzara
Insidious,Patrick Wilson
Insidious,Rose Byrne
Insidious,Ty Simpkins
Repo Man,Harry Dean Stanton
Repo Man,Emilio Estevez
Repo Man,Tracey Walter
Nine Queens,Ricardo Darín
Nine Queens,Gastón Pauls
Nine Queens,Leticia Brédice
The Gatekeepers,Ami Ayalon
The Gatekeepers,Avraham Shalom
The Gatekeepers,Yaakov Peri
The Ballad of Jack and Rose,Daniel Day-Lewis
The Ballad of Jack and Rose,Camilla Belle
The Ballad of Jack and Rose,Catherine Keener
The To Do List,Aubrey Plaza
The To Do List,Johnny Simmons
The To Do List,Bill Hader
Killing Zoe,Eric Stoltz
Killing Zoe,Julie Delpy
Killing Zoe,Jean-Hugues Anglade
The Believer,Ryan Gosling
The Believer,Summer Phoenix
The Believer,Theresa Russell
Snow Angels,Kate Beckinsale
Snow Angels,Sam Rockwell
Snow Angels,Michael Angarano
Unsullied,Rusty Joiner
Unsullied,Murray Gray
Unsullied,James Gaudioso
Session 9,Peter Mullan
Session 9,David Caruso
Session 9,Stephen Gevedon
I Want Someone to Eat Cheese With,Jeff Garlin
I Want Someone to Eat Cheese With,Sarah Silverman
I Want Someone to Eat Cheese With,Bonnie Hunt
Mooz-lum,Nia Long
Mooz-lum,Danny Glover
Mooz-lum,Evan Ross
Hatchet,Joel David Moore
Hatchet,Tamara Feldman
Hatchet,Deon Richmond
Modern Times,Charlie Chaplin
Modern Times,Paulette Goddard
Modern Times,Henry Bergman
Stolen Summer,Aidan Quinn
Stolen Summer,Bonnie Hunt
Stolen Summer,Kevin Pollak
My Name Is Bruce,Bruce Campbell
My Name Is Bruce,Grace Thorsen
My Name Is Bruce,Ted Raimi
The Salon,Dondre Whitfield
The Salon,Kym Whitley
The Salon,Monica Calhoun
Road Hard,Adam Carolla
Road Hard,Diane Farr
Road Hard,Larry Miller
Forty Shades of Blue,Dina Korzun
Forty Shades of Blue,Rip Torn
Forty Shades of Blue,Darren E. Burrows
Amigo,Chris Cooper
Amigo,DJ Qualls
Amigo,Garret Dillahunt
Pontypool,Stephen McHattie
Pontypool,Lisa Houle
Pontypool,Georgina Reilly
Trucker,Michelle Monaghan
Trucker,Nathan Fillion
Trucker,Joey Lauren Adams
The Lords of Salem,Sheri Moon Zombie
The Lords of Salem,Bruce Davison
The Lords of Salem,Jeff Daniel Phillips
Housebound,Morgana O'Reilly
Housebound,Rima Te Wiata
Housebound,Glen-Paul Waru
Wal-Mart: The High Cost of Low Price,Lee Scott
Wal-Mart: The High Cost of Low Price,Don Hunter
Wal-Mart: The High Cost of Low Price,Jon Hunter
Fetching Cody,Jay Baruchel
Fetching Cody,Sarah Lind
Fetching Cody,Jim Byrnes
Last I Heard,Paul Sorvino
Last I Heard,Chazz Palminteri
Last I Heard,Michael Rapaport
Closer to the Moon,Vera Farmiga
Closer to the Moon,Mark Strong
Closer to the Moon,Harry Lloyd
Mutant World,Kim Coates
Mutant World,Holly Deveaux
Mutant World,Ashanti
Growing Up Smith,Roni Akurati
Growing Up Smith,Brighton Sharbino
Growing Up Smith,Jason Lee
Checkmate,Danny Glover
Checkmate,Sean Astin
Checkmate,Vinnie Jones
#Horror,Taryn Manning
#Horror,Natasha Lyonne
#Horror,Chloë Sevigny
Wind Walkers,Zane Holtz
Wind Walkers,Glen Powell
Wind Walkers,Kiowa Gordon
Snow White and the Seven Dwarfs,Adriana Caselotti
Snow White and the Seven Dwarfs,Lucille La Verne
Snow White and the Seven Dwarfs,Harry Stockwell
The Holy Girl,María Alché
The Holy Girl,Mercedes Morán
The Holy Girl,Carlos Belloso
Shalako,Sean Connery
Shalako,Brigitte Bardot
Shalako,Jack Hawkins
Incident at Loch Ness,Werner Herzog
Incident at Loch Ness,Kitana Baker
Incident at Loch Ness,Gabriel Beistain
The Dog Lover,Allison Paige
The Dog Lover,James Remar
The Dog Lover,Lea Thompson
GirlHouse,Ali Cobrin
GirlHouse,Erin Agostino
GirlHouse,James Thomas
The Blue Room,Mathieu Amalric
The Blue Room,Léa Drucker
The Blue Room,Stéphanie Cléau
House at the End of the Drive,James Oliver
House at the End of the Drive,Jonathan Mangum
House at the End of the Drive,Alison Raimondi
Batman,Adam West
Batman,Burt Ward
Batman,Lee Meriwether
"Lock, Stock and Two Smoking Barrels",Jason Flemyng
"Lock, Stock and Two Smoking Barrels",Dexter Fletcher
"Lock, Stock and Two Smoking Barrels",Nick Moran
The Ballad of Gregorio Cortez,Edward James Olmos
The Ballad of Gregorio Cortez,James Gammon
The Ballad of Gregorio Cortez,Tom Bower
The Celebration,Ulrich Thomsen
The Celebration,Henning Moritzen
The Celebration,Thomas Bo Larsen
Trees Lounge,Steve Buscemi
Trees Lounge,Chloë Sevigny
Trees Lounge,Carol Kane
Journey from the Fall,Kiều Chinh
Journey from the Fall,Long Nguyen
Journey from the Fall,Diem Lien
The Basket,Peter Coyote
The Basket,Karen Allen
The Basket,Robert Burke
Eddie: The Sleepwalking Cannibal,Thure Lindhardt
Eddie: The Sleepwalking Cannibal,Dylan Smith
Eddie: The Sleepwalking Cannibal,Georgina Reilly
Queen of the Mountains,Elina Abai Kyzy
Queen of the Mountains,Aziz Muradillayev
Queen of the Mountains,Nasira Mambetov
Def-Con 4,Lenore Zann
Def-Con 4,Maury Chaykin
Def-Con 4,Kate Lynch
The Hebrew Hammer,Adam Goldberg
The Hebrew Hammer,Judy Greer
The Hebrew Hammer,Andy Dick
Neal 'n' Nikki,Uday Chopra
Neal 'n' Nikki,Tanisha Mukherjee
Neal 'n' Nikki,Abhishek Bachchan
The 41–Year–Old Virgin Who Knocked Up Sarah Marshall and Felt Superbad About It,Bryan Callen
The 41–Year–Old Virgin Who Knocked Up Sarah Marshall and Felt Superbad About It,Noureen DeWulf
The 41–Year–Old Virgin Who Knocked Up Sarah Marshall and Felt Superbad About It,Mircea Monroe
Forget Me Not,Carly Schroeder
Forget Me Not,Cody Linley
Forget Me Not,Brie Gabrielle
Rebecca,Laurence Olivier
Rebecca,Joan Fontaine
Rebecca,George Sanders
Friday the 13th Part 2,Amy Steel
Friday the 13th Part 2,John Furey
Friday the 13th Part 2,Adrienne King
The Lost Weekend,Ray Milland
The Lost Weekend,Jane Wyman
The Lost Weekend,Phillip Terry
C.H.U.D.,John Heard
C.H.U.D.,Daniel Stern
C.H.U.D.,Christopher Curry
Filly Brown,Resmine Atis
Filly Brown,Baby Bash
Filly Brown,David Bianchi
The Lion of Judah,Georgina Cordova
The Lion of Judah,Ernest Borgnine
The Lion of Judah,Michael Madsen
Niagara,Marilyn Monroe
Niagara,Joseph Cotten
Niagara,Jean Peters
How Green Was My Valley,Walter Pidgeon
How Green Was My Valley,Maureen O'Hara
How Green Was My Valley,Roddy McDowall
Da Sweet Blood of Jesus,Felicia Pearson
Da Sweet Blood of Jesus,Zaraah Abrahams
Da Sweet Blood of Jesus,Elvis Nolasco
"Sex, Lies, and Videotape",Andie MacDowell
"Sex, Lies, and Videotape",Peter Gallagher
"Sex, Lies, and Videotape",James Spader
Saw,Cary Elwes
Saw,Danny Glover
Saw,Monica Potter
Super Troopers,Jay Chandrasekhar
Super Troopers,Steve Lemme
Super Troopers,Kevin Heffernan
The Algerian,Ben Youcef
The Algerian,Candice Coke
The Algerian,Harry Lennix
The Amazing Catfish,Lisa Owen
The Amazing Catfish,Ximena Ayala
The Amazing Catfish,Sonia Franco
Monsoon Wedding,Naseeruddin Shah
Monsoon Wedding,Lillete Dubey
Monsoon Wedding,Vijay Raaz
You Can Count on Me,Laura Linney
You Can Count on Me,Mark Ruffalo
You Can Count on Me,Matthew Broderick
The Trouble with Harry,Edmund Gwenn
The Trouble with Harry,John Forsythe
The Trouble with Harry,Shirley MacLaine
But I'm a Cheerleader,Natasha Lyonne
But I'm a Cheerleader,Brandt Wille
But I'm a Cheerleader,Bud Cort
Home Run,Scott Elrod
Home Run,Dorian Brown
Home Run,Charles Henry Wyson
Reservoir Dogs,Harvey Keitel
Reservoir Dogs,Tim Roth
Reservoir Dogs,Michael Madsen
The Blue Bird,Shirley Temple
The Blue Bird,Spring Byington
The Blue Bird,Nigel Bruce
"The Good, the Bad and the Ugly",Eli Wallach
"The Good, the Bad and the Ugly",Clint Eastwood
"The Good, the Bad and the Ugly",Lee Van Cleef
The Second Mother,Regina Casé
The Second Mother,Michel Joelsas
The Second Mother,Camila Márdila
Blue Like Jazz,Marshall Allman
Blue Like Jazz,Claire Holt
Blue Like Jazz,Tania Raymonde
"Pink Ribbons, Inc.",Samantha King
"Pink Ribbons, Inc.",Barbara Brenner
"Pink Ribbons, Inc.",Barbara Ehrenreich
Certifiably Jonathan,Jonathan Winters
Certifiably Jonathan,Robin Williams
Certifiably Jonathan,Sarah Silverman
Desire,Déborah Révy
Desire,Hélène Zimmer
Desire,Gowan Didi
The Blade of Don Juan,Juan Carlos Montoya
The Blade of Don Juan,Rodrigo Viaggio
The Blade of Don Juan,Irma Maury
Grand Theft Parsons,Johnny Knoxville
Grand Theft Parsons,Christina Applegate
Grand Theft Parsons,Gabriel Macht
Extreme Movie,Patrick J. Adams
Extreme Movie,Ryan Pinkston
Extreme Movie,Denise Boutte
The Charge of the Light Brigade,Errol Flynn
The Charge of the Light Brigade,Olivia de Havilland
The Charge of the Light Brigade,Patric Knowles
Below Zero,Edward Furlong
Below Zero,Michael Berryman
Below Zero,Kristin Booth
Airborne,Shane McDermott
Airborne,Seth Green
Airborne,Brittney Powell
Cotton Comes to Harlem,Godfrey Cambridge
Cotton Comes to Harlem,Raymond St. Jacques
Cotton Comes to Harlem,Calvin Lockhart
The Wicked Within,Sienna Guillory
The Wicked Within,Gianni Capaldi
The Wicked Within,Enzo Cilenti
Bleeding Hearts,Robert Loggia
Bleeding Hearts,Charles Durning
Bleeding Hearts,Tony Todd
Waiting...,Ryan Reynolds
Waiting...,Anna Faris
Waiting...,Justin Long
Dead Man's Shoes,Paddy Considine
Dead Man's Shoes,Gary Stretch
Dead Man's Shoes,Toby Kebbell
From a Whisper to a Scream,Vincent Price
From a Whisper to a Scream,Clu Gulager
From a Whisper to a Scream,Terry Kiser
Dracula: Pages from a Virgin's Diary,Wei-Qiang Zhang
Dracula: Pages from a Virgin's Diary,Tara Birtwhistle
Dracula: Pages from a Virgin's Diary,David Moroni
Faith Like Potatoes,Frank Rautenbach
Faith Like Potatoes,Jeanne Neilson
Faith Like Potatoes,Hamilton Dlamini
Beyond the Black Rainbow,Michael Rogers
Beyond the Black Rainbow,Scott Hylands
Beyond the Black Rainbow,Marilyn Norry
The Raid,Iko Uwais
The Raid,Joe Taslim
The Raid,Donny Alamsyah
The Dead Undead,Luke Goss
The Dead Undead,Joshua Alba
The Dead Undead,Matthew R. Anderson
The Vatican Exorcisms,Joe Marino
Casablanca,Humphrey Bogart
Casablanca,Ingrid Bergman
Casablanca,Paul Henreid
Lake Mungo,Talia Zucker
Lake Mungo,Rosie Traynor
Lake Mungo,David Pledger
Rocket Singh: Salesman of the Year,Ranbir Kapoor
Rocket Singh: Salesman of the Year,Sumeet Darshan Dobhal
Rocket Singh: Salesman of the Year,Gauhar Khan
Silent Running,Bruce Dern
Silent Running,Cliff Potts
Silent Running,Ron Rifkin
Rocky,Sylvester Stallone
Rocky,Talia Shire
Rocky,Burt Young
The Sleepwalker,Christopher Abbott
The Sleepwalker,Brady Corbet
The Sleepwalker,Stephanie Ellis
Tom Jones,Albert Finney
Tom Jones,Susannah York
Tom Jones,Hugh Griffith
Unfriended,Shelley Hennig
Unfriended,Moses Jacob Storm
Unfriended,Renee Olstead
Taxi Driver,Robert De Niro
Taxi Driver,Cybill Shepherd
Taxi Driver,Harvey Keitel
The Howling,Patrick Macnee
The Howling,Dennis Dugan
The Howling,Christopher Stone
Dr. No,Sean Connery
Dr. No,Ursula Andress
Dr. No,Joseph Wiseman
Chernobyl Diaries,Jesse McCartney
Chernobyl Diaries,Jonathan Sadowski
Chernobyl Diaries,Olivia Taylor Dudley
Hellraiser,Andrew Robinson
Hellraiser,Clare Higgins
Hellraiser,Ashley Laurence
God's Not Dead 2,Hayley Orrantia
God's Not Dead 2,Melissa Joan Hart
God's Not Dead 2,Jesse Metcalfe
Cry_Wolf,Julian Morris
Cry_Wolf,Lindy Booth
Cry_Wolf,Jared Padalecki
Godzilla 2000,Takehiro Murata
Godzilla 2000,Naomi Nishida
Godzilla 2000,Mayu Suzuki
Blue Valentine,Ryan Gosling
Blue Valentine,Michelle Williams
Blue Valentine,Mike Vogel
Transamerica,Felicity Huffman
Transamerica,Kevin Zegers
Transamerica,Elizabeth Peña
The Devil Inside,Fernanda Andrade
The Devil Inside,Simon Quarterman
The Devil Inside,Evan Helmuth
Beyond the Valley of the Dolls,Dolly Read
Beyond the Valley of the Dolls,Cynthia Myers
Beyond the Valley of the Dolls,Marcia McBroom
Love Me Tender,Richard Egan
Love Me Tender,Debra Paget
Love Me Tender,Elvis Presley
An Inconvenient Truth,Al Gore
An Inconvenient Truth,Billy West
An Inconvenient Truth,Ronald Reagan
Sands of Iwo Jima,John Wayne
Sands of Iwo Jima,John Agar
Sands of Iwo Jima,Adele Mara
Shine a Light,Mick Jagger
Shine a Light,Keith Richards
Shine a Light,Charlie Watts
The Green Inferno,Lorenza Izzo
The Green Inferno,Ariel Levy
The Green Inferno,Sky Ferreira
Departure,Juliet Stevenson
Departure,Alex Lawther
Departure,Phénix Brossard
The Sessions,John Hawkes
The Sessions,Helen Hunt
The Sessions,William H. Macy
"Food, Inc.",Michael Pollan
"Food, Inc.",Eric Schlosser
"Food, Inc.",Richard Lobb
October Baby,Rachel Hendrix 
October Baby,Jason Burkey
October Baby,Robert Amaya 
Next Stop Wonderland,Hope Davis
Next Stop Wonderland,Philip Seymour Hoffman
Next Stop Wonderland,Holland Taylor
The Skeleton Twins,Kristen Wiig
The Skeleton Twins,Bill Hader
The Skeleton Twins,Luke Wilson
Martha Marcy May Marlene,Elizabeth Olsen
Martha Marcy May Marlene,Hugh Dancy
Martha Marcy May Marlene,John Hawkes
Obvious Child,Jenny Slate
Obvious Child,Jake Lacy
Obvious Child,Gaby Hoffmann
Frozen River,Melissa Leo
Frozen River,Misty Upham
Frozen River,Charlie McDermott
20 Feet from Stardom,Bette Midler
20 Feet from Stardom,Mick Jagger
20 Feet from Stardom,Sting
Two Girls and a Guy,Robert Downey Jr.
Two Girls and a Guy,Natasha Gregson Wagner
Two Girls and a Guy,Heather Graham
Walking and Talking,Catherine Keener
Walking and Talking,Anne Heche
Walking and Talking,Liev Schreiber
Who Killed the Electric Car?,Martin Sheen
Who Killed the Electric Car?,Mel Gibson
Who Killed the Electric Car?,Tom Hanks
The Broken Hearts Club: A Romantic Comedy,Ben Weber
The Broken Hearts Club: A Romantic Comedy,Timothy Olyphant
The Broken Hearts Club: A Romantic Comedy,Matt McGrath
Bubba Ho-tep,Bruce Campbell
Bubba Ho-tep,Ossie Davis
Bubba Ho-tep,Ella Joyce
Slam,Saul Williams
Slam,Sonja Sohn
Slam,Bonz Malone
Brigham City,Richard Dutcher
Brigham City,Matthew A. Brown
Brigham City,Wilford Brimley
Fiza,Hrithik Roshan
Fiza,Karisma Kapoor
Fiza,Jaya Bachchan
Orgazmo,Trey Parker
Orgazmo,Dian Bachar
Orgazmo,Matt Stone
All the Real Girls,Paul Schneider
All the Real Girls,Zooey Deschanel
All the Real Girls,Danny McBride
Dream with the Fishes,David Arquette
Dream with the Fishes,Brad Hunt
Dream with the Fishes,Kathryn Erbe
Blue Car,Margaret Colin
Blue Car,Agnes Bruckner
Blue Car,David Strathairn
Palo Alto,Emma Roberts
Palo Alto,Jack Kilmer
Palo Alto,Nat Wolff
Ajami,Fouad Habash
Ajami,Nisrine Rihan
Ajami,Elias Saba
Wristcutters: A Love Story,Patrick Fugit
Wristcutters: A Love Story,Shannyn Sossamon
Wristcutters: A Love Story,Shea Whigham
I Origins,Michael Pitt
I Origins,Brit Marling
I Origins,Astrid Bergès-Frisbey
The Battle of Shaker Heights,Shia LaBeouf
The Battle of Shaker Heights,Elden Henson
The Battle of Shaker Heights,Amy Smart
The Act of Killing,Anwar Congo
The Act of Killing,Herman Koto
The Act of Killing,Syamsul Arifin
Taxi to the Dark Side,Brian Keith Allen
Taxi to the Dark Side,Moazzam Begg
Taxi to the Dark Side,Christopher Beiring
Once in a Lifetime: The Extraordinary Story of the New York Cosmos,Pelé
Once in a Lifetime: The Extraordinary Story of the New York Cosmos,Franz Beckenbauer
Once in a Lifetime: The Extraordinary Story of the New York Cosmos,Carlos Alberto
Guiana 1838,Aasheekaa Bathija
Guiana 1838,Thomas Garvey
Guiana 1838,Kumar Gaurav
Lisa Picard Is Famous,Laura Kirk
Lisa Picard Is Famous,Nat DeWolf
Lisa Picard Is Famous,Griffin Dunne
Antarctica: A Year on Ice,Genevieve Bachman
Antarctica: A Year on Ice,William Brotman
Antarctica: A Year on Ice,Michael Christiansen
A LEGO Brickumentary,Jason Bateman
A LEGO Brickumentary,Matthias Klie
Hardflip,Randy Wayne
Hardflip,John Schneider
Hardflip,Rosanna Arquette
Chocolate: Deep Dark Secrets,Anil Kapoor
Chocolate: Deep Dark Secrets,Sunil Shetty
Chocolate: Deep Dark Secrets,Arshad Warsi
The House of the Devil,Jocelin Donahue
The House of the Devil,Mary Woronov
The House of the Devil,Greta Gerwig
The Perfect Host,David Hyde Pierce
The Perfect Host,Clayne Crawford
The Perfect Host,Nathaniel Parker
Safe Men,Sam Rockwell
Safe Men,Steve Zahn
Safe Men,Paul Giamatti
Speedway Junky,Jesse Bradford
Speedway Junky,Jordan Brower
Speedway Junky,Jonathan Taylor Thomas
The Last Big Thing,Dan Zukovic
The Last Big Thing,Mark Ruffalo
The Last Big Thing,Sibel Ergener
The Specials,Jordan Ladd
The Specials,Rob Lowe
The Specials,Jamie Kennedy
16 to Life,Hallee Hirsh
16 to Life,Theresa Russell
16 to Life,Shiloh Fernandez
Alone With Her,Colin Hanks
Alone With Her,Ana Claudia Talancón
Alone With Her,Jordana Spiro
Creative Control,Benjamin Dickinson
Creative Control,Nora Zehetner
Creative Control,Dan Gill
Special,Michael Rapaport
Special,Josh Peck
Special,Robert Baker
Sparkler,Park Overall
Sparkler,Veronica Cartwright
Sparkler,Freddie Prinze Jr.
In Her Line of Fire,Mariel Hemingway
In Her Line of Fire,David Keith
In Her Line of Fire,David Millbern
The Jimmy Show,Frank Whaley
The Jimmy Show,Carla Gugino
The Jimmy Show,Ethan Hawke
Heli,Armando Espitia
Heli,Andrea Vergara
Heli,Linda Gonzalez
Karachi se Lahore,Shehzad Sheikh
Karachi se Lahore,Ayesha Omar
Karachi se Lahore,Yasir Hussain
Loving Annabelle,Erin Kelly
Loving Annabelle,Diane Gaidry
Loving Annabelle,Laura Breckenridge
Hits,Meredith Hagner
Hits,Matt Walsh
Hits,James Adomian
Jimmy and Judy,Edward Furlong
Jimmy and Judy,Rachael Bella
Jimmy and Judy,William Sadler
Frat Party,Randy Wayne
Frat Party,Caroline D'Amore
Frat Party,Jareb Dauplaise
The Party's Over,Oliver Reed
The Party's Over,Clifford David
The Party's Over,Ann Lynn
Proud,Vernel Bagneris
Proud,Marcus Chait
Proud,Michael Ciesla
The Poker House,Jennifer Lawrence
The Poker House,Selma Blair
The Poker House,Bokeem Woodbine
Childless,Barbara Hershey
Childless,Joe Mantegna
Childless,Diane Venora
ZMD: Zombies of Mass Destruction,Janette Armand
ZMD: Zombies of Mass Destruction,Doug Fahl
ZMD: Zombies of Mass Destruction,Cooper Hopkins
Snow White: A Deadly Summer,Shanley Caswell
Snow White: A Deadly Summer,Maureen McCormick
Snow White: A Deadly Summer,Eric Roberts
Hidden Away,Germán Alcarazu
Hidden Away,Adil Koukouh
Hidden Away,Ana Wagener
My Last Day Without You,Ken Duken
My Last Day Without You,Nicole Beharie
My Last Day Without You,Reg E. Cathey
Steppin: The Movie,Wesley Jonathan
Steppin: The Movie,Chrystee Pharris
Steppin: The Movie,Anthony Anderson
Doc Holliday's Revenge,Tom Berenger
Doc Holliday's Revenge,Ashley Hayes
Doc Holliday's Revenge,Eric Roberts
Black Rock,Kate Bosworth
Black Rock,Lake Bell
Black Rock,Jay Paulson
Truth or Dare,Liam Boyle
Truth or Dare,Jack Gordon
Truth or Dare,Florence Hall
The Pet,Pierre Dulat
The Pet,Andrea Edmondson
The Pet,Summer Nguyen
Bang Bang Baby,Jane Levy
Bang Bang Baby,Peter Stormare
Bang Bang Baby,Justin Chatwin
Fear Clinic,Thomas Dekker
Fear Clinic,Robert Englund
Fear Clinic,Cleopatra Coleman
Zombie Hunter,Martin Copping
Zombie Hunter,Danny Trejo
