Type,Rating,Latitude,Longitude,Year,Magnitude,Mass,VEI
Volcano,2,9.203,124.67299999999999,1949.0,,,3.0
Volcano,2,-2.03,-78.33,1976.0,,,3.0
Volcano,2,42.53,140.83,1978.0,,,3.0
Volcano,2,-15.78,-71.85,1990.0,,,3.0
Volcano,2,42.53,140.83,1977.0,,,3.0
Volcano,2,14.755999999999998,-91.552,1990.0,,,3.0
Volcano,2,56.056999999999995,160.638,1977.0,,,3.0
Volcano,2,-1.4669999999999999,-78.442,2010.0,,,3.0
Volcano,2,2.78,125.48,2010.0,,,3.0
Volcano,2,-8.107999999999999,112.92,1978.0,,,3.0
Volcano,2,10.463,-84.70299999999999,1975.0,,,3.0
Volcano,2,31.58,130.67,1974.0,,,3.0
Volcano,2,31.58,130.67,1974.0,,,3.0
Volcano,2,2.78,125.48,1974.0,,,3.0
Volcano,2,12.505999999999998,-86.70200000000001,1992.0,,,3.0
Volcano,2,-8.32,121.708,1973.0,,,3.0
Volcano,2,14.755999999999998,-91.552,1978.0,,,3.0
Volcano,2,13.33,-61.18,1979.0,,,3.0
Volcano,2,63.43,-20.28,1973.0,,,3.0
Volcano,2,-4.525,129.871,1988.0,,,3.0
Volcano,2,4.895,-75.322,1985.0,,,3.0
Volcano,2,-8.107999999999999,112.92,1985.0,,,3.0
Volcano,2,37.734,15.004000000000001,1984.0,,,3.0
Volcano,2,13.257,123.685,1984.0,,,3.0
Volcano,2,34.08,139.53,1983.0,,,3.0
Volcano,2,14.380999999999998,-90.601,1987.0,,,3.0
Volcano,2,10.463,-84.70299999999999,1988.0,,,3.0
Volcano,2,56.653,161.36,1990.0,,,3.0
Volcano,2,-8.107999999999999,112.92,1988.0,,,3.0
Volcano,2,2.32,-76.4,1885.0,,,3.0
Volcano,2,-38.376999999999995,-71.58,1988.0,,,3.0
Volcano,2,-8.107999999999999,112.92,1981.0,,,3.0
Volcano,2,-8.107999999999999,112.92,1981.0,,,3.0
Volcano,2,63.98,-19.7,1980.0,,,3.0
Volcano,2,-8.107999999999999,112.92,1992.0,,,3.0
Volcano,2,-19.52,169.425,1994.0,,,3.0
Volcano,2,9.203,124.67299999999999,1950.0,,,3.0
Volcano,2,-41.326,-72.61399999999999,1961.0,,,3.0
Volcano,2,9.979,-83.852,1963.0,,,3.0
Volcano,2,-8.42,116.47,1994.0,,,3.0
Volcano,2,52.18,-175.5,2008.0,,,3.0
Volcano,2,43.42,142.68,1962.0,,,3.0
Volcano,2,-7.542000000000001,110.44200000000001,1961.0,,,3.0
Volcano,2,0.8,127.325,2011.0,,,3.0
Volcano,2,-40.59,-72.117,1960.0,,,3.0
Volcano,2,-1.4669999999999999,-78.442,2008.0,,,3.0
Volcano,2,-7.542000000000001,110.44200000000001,1994.0,,,3.0
Volcano,2,6.25,10.5,1986.0,,,3.0
Volcano,2,-7.542000000000001,110.44200000000001,1953.0,,,3.0
Volcano,2,9.203,124.67299999999999,1951.0,,,3.0
Volcano,2,-7.93,112.30799999999999,1951.0,,,3.0
Volcano,2,-19.52,169.425,1995.0,,,3.0
Volcano,2,13.37,41.7,2011.0,,,3.0
Volcano,2,-8.342,115.508,1963.0,,,3.0
Volcano,2,16.72,-62.18,2003.0,,,3.0
Volcano,2,13.257,123.685,1968.0,,,3.0
Volcano,2,-1.4669999999999999,-78.442,2010.0,,,3.0
Volcano,2,14.472999999999999,-90.88,1971.0,,,3.0
Volcano,2,-45.9,-72.97,1971.0,,,3.0
Volcano,2,63.98,-19.7,1970.0,,,3.0
Volcano,2,-8.88,121.63,1969.0,,,3.0
Volcano,2,10.463,-84.70299999999999,1968.0,,,3.0
Volcano,2,-62.97,-60.65,1967.0,,,3.0
Volcano,2,14.472999999999999,-90.88,1963.0,,,3.0
Volcano,2,-8.107999999999999,112.92,1967.0,,,3.0
Volcano,2,-2.7510000000000003,35.902,1967.0,,,3.0
Volcano,2,-8.107999999999999,112.92,1994.0,,,3.0
Volcano,2,-10.38,165.8,1966.0,,,3.0
Volcano,2,9.979,-83.852,1963.0,,,3.0
Volcano,2,-4.271,152.203,1994.0,,,3.0
Volcano,2,31.58,130.67,1955.0,,,3.0
Volcano,2,30.48,140.32,1902.0,,,3.0
Volcano,2,32.45,139.77,1780.0,,,3.0
Volcano,2,3.67,125.5,1711.0,,,3.0
Volcano,2,13.58,41.808,1861.0,,,3.0
Volcano,2,1.358,124.792,1775.0,,,3.0
Volcano,2,-4.525,129.871,1615.0,,,3.0
Volcano,2,0.8,127.325,1608.0,,,3.0
Volcano,2,-9.13,159.82,1840.0,,,3.0
Volcano,2,14.002,120.993,1749.0,,,3.0
Volcano,2,-4.525,129.871,1598.0,,,3.0
Volcano,2,-10.38,165.8,1840.0,,,3.0
Volcano,2,-8.125,114.042,1597.0,,,3.0
Volcano,2,-7.93,112.30799999999999,1826.0,,,3.0
Volcano,2,-0.677,-78.436,1742.0,,,3.0
Volcano,2,19.514,-103.62,1590.0,,,3.0
Volcano,2,-8.54,123.59,1870.0,,,3.0
Volcano,2,38.65,-28.08,1580.0,,,3.0
Volcano,2,19.514,-103.62,1576.0,,,3.0
Volcano,2,-9.13,159.82,1568.0,,,3.0
Volcano,2,32.45,139.77,1785.0,,,3.0
Volcano,2,31.93,130.87,1566.0,,,3.0
Volcano,2,14.472999999999999,-90.88,1617.0,,,3.0
Volcano,2,0.8,127.325,1775.0,,,3.0
Volcano,2,63.98,-19.7,1636.0,,,3.0
Volcano,2,-1.4669999999999999,-78.442,1640.0,,,3.0
Volcano,2,3.67,125.5,1812.0,,,3.0
Volcano,2,-7.542000000000001,110.44200000000001,1672.0,,,3.0
Volcano,2,4.895,-75.322,1845.0,,,3.0
Volcano,2,-7.13,107.83,1690.0,,,3.0
Volcano,2,13.257,123.685,1766.0,,,3.0
Volcano,2,0.8,127.325,1772.0,,,3.0
Volcano,2,-4.525,129.871,1694.0,,,3.0
Volcano,2,40.821,14.425999999999998,1698.0,,,3.0
Volcano,2,13.257,123.685,1853.0,,,3.0
Volcano,2,37.734,15.004000000000001,1669.0,,,3.0
Volcano,2,37.734,15.004000000000001,1669.0,,,3.0
Volcano,2,-7.32,107.73,1772.0,,,3.0
Volcano,2,-0.677,-78.436,1698.0,,,3.0
Volcano,2,-6.892,108.4,1698.0,,,3.0
Volcano,2,13.735999999999999,-89.286,1659.0,,,3.0
Volcano,2,50.858000000000004,155.55,1854.0,,,3.0
Volcano,2,3.67,125.5,1856.0,,,3.0
Volcano,2,-7.542000000000001,110.44200000000001,1832.0,,,3.0
Volcano,2,14.380999999999998,-90.601,1565.0,,,3.0
Volcano,2,1.375,127.52,1564.0,,,3.0
Volcano,2,63.98,-19.7,1341.0,,,3.0
Volcano,2,-7.542000000000001,110.44200000000001,1822.0,,,3.0
Volcano,2,37.734,15.004000000000001,1329.0,,,3.0
Volcano,2,-7.93,112.30799999999999,1311.0,,,3.0
Volcano,2,64.63,-17.53,1717.0,,,3.0
Volcano,2,63.63,-19.05,1262.0,,,3.0
Volcano,2,14.472999999999999,-90.88,1717.0,,,3.0
Volcano,2,-6.14,155.195,1883.0,,,3.0
Volcano,2,63.63,-19.05,1177.0,,,3.0
Volcano,2,40.821,14.425999999999998,787.0,,,3.0
Volcano,2,-19.52,169.425,1878.0,,,3.0
Volcano,2,31.58,130.67,766.0,,,3.0
Volcano,2,39.7,44.28,1840.0,,,3.0
Volcano,2,36.404,25.396,46.0,,,3.0
Volcano,2,-4.271,152.203,1878.0,,,3.0
Volcano,2,42.7,141.33,1804.0,,,3.0
Volcano,2,-8.125,114.042,1730.0,,,3.0
Volcano,2,36.404,25.396,-197.0,,,3.0
Volcano,2,54.75,-163.97,1824.0,,,3.0
Volcano,2,-7.93,112.30799999999999,1334.0,,,3.0
Volcano,2,34.08,139.53,1874.0,,,3.0
Volcano,2,13.257,123.685,1871.0,,,3.0
Volcano,2,-0.677,-78.436,1742.0,,,3.0
Volcano,2,1.68,127.88,1550.0,,,3.0
Volcano,2,40.827,14.139000000000001,1538.0,,,3.0
Volcano,2,37.734,15.004000000000001,1536.0,,,3.0
Volcano,2,40.821,14.425999999999998,1794.0,,,3.0
Volcano,2,31.93,130.87,1716.0,,,3.0
Volcano,2,37.12,139.97,1410.0,,,3.0
Volcano,2,40.821,14.425999999999998,1872.0,,,3.0
Volcano,2,32.88,131.1,1872.0,,,3.0
Volcano,2,63.98,-19.7,1389.0,,,3.0
Volcano,2,-7.93,112.30799999999999,1385.0,,,3.0
Volcano,2,-7.93,112.30799999999999,1376.0,,,3.0
Volcano,2,31.93,130.87,1717.0,,,3.0
Volcano,2,40.821,14.425999999999998,1682.0,,,3.0
Volcano,1,32.88,131.1,1979.0,,,2.0
Volcano,1,-4.649,145.964,1979.0,,,2.0
Volcano,1,40.821,14.425999999999998,1737.0,,,2.0
Volcano,1,12.77,124.05,1978.0,,,2.0
Volcano,1,37.734,15.004000000000001,1979.0,,,2.0
Volcano,1,37.734,15.004000000000001,1981.0,,,2.0
Volcano,1,64.42,-17.33,1753.0,,,2.0
Volcano,1,-8.107999999999999,112.92,1885.0,,,2.0
Volcano,1,56.056999999999995,160.638,1762.0,,,2.0
Volcano,1,-10.38,165.8,1971.0,,,2.0
Volcano,1,-8.32,121.708,1964.0,,,2.0
Volcano,1,-39.42,-71.93,1964.0,,,2.0
Volcano,1,36.4,138.53,1803.0,,,2.0
Volcano,1,36.4,138.53,1803.0,,,2.0
Volcano,1,-9.23,33.78,1800.0,,,2.0
Volcano,1,13.257,123.685,1800.0,,,2.0
Volcano,1,32.75,130.3,1792.0,,,2.0
Volcano,1,-7.542000000000001,110.44200000000001,1969.0,,,2.0
Volcano,1,34.73,139.38,1789.0,,,2.0
Volcano,1,19.077,122.20200000000001,1969.0,,,2.0
Volcano,1,-7.2,109.92,1786.0,,,2.0
Volcano,1,28.58,-17.83,1971.0,,,2.0
Volcano,1,-7.542000000000001,110.44200000000001,1976.0,,,2.0
Volcano,1,-39.42,-71.93,1971.0,,,2.0
Volcano,1,-21.229,55.713,1972.0,,,2.0
Volcano,1,50.858000000000004,155.55,1981.0,,,2.0
Volcano,1,40.821,14.425999999999998,1779.0,,,2.0
Volcano,1,-8.54,123.59,1973.0,,,2.0
Volcano,1,36.92,138.03,1974.0,,,2.0
Volcano,1,0.8,127.325,1773.0,,,2.0
Volcano,1,-7.542000000000001,110.44200000000001,1974.0,,,2.0
Volcano,1,-0.381,100.473,1975.0,,,2.0
Volcano,1,-8.107999999999999,112.92,1976.0,,,2.0
Volcano,1,2.78,125.48,1976.0,,,2.0
Volcano,1,29.03,-13.63,1730.0,,,2.0
Volcano,1,32.88,131.1,1990.0,,,2.0
Volcano,1,65.73,-16.78,1729.0,,,2.0
Volcano,1,-8.32,121.708,1981.0,,,2.0
Volcano,1,33.13,139.77,1606.0,,,2.0
Volcano,1,-7.542000000000001,110.44200000000001,1997.0,,,2.0
Volcano,1,36.4,138.53,1598.0,,,2.0
Volcano,1,36.4,138.53,1596.0,,,2.0
Volcano,1,14.472999999999999,-90.88,1999.0,,,2.0
Volcano,1,34.08,139.53,2000.0,,,2.0
Volcano,1,-7.542000000000001,110.44200000000001,2000.0,,,2.0
Volcano,1,37.734,15.004000000000001,2001.0,,,2.0
Volcano,1,-7.542000000000001,110.44200000000001,2001.0,,,2.0
Volcano,1,38.789,15.213,2001.0,,,2.0
Volcano,1,32.88,131.1,1485.0,,,2.0
Volcano,1,-7.942,112.95,2004.0,,,2.0
Volcano,1,16.72,-62.18,2006.0,,,2.0
Volcano,1,12.77,124.05,2006.0,,,2.0
